fecha,mes,caudal_m3s,temperatura_c,precipitacion_mm
2023-01-01,1,5.54,23,3.1
2023-01-02,1,2.9,23.6,0
2023-01-03,1,4.73,23.4,0
2023-01-04,1,6.93,23.4,0
2023-01-05,1,3.49,25.7,0
2023-01-06,1,4.11,22.8,6.1
2023-01-07,1,4.3,23.6,0
2023-01-08,1,3.1,24.1,0
2023-01-09,1,4.29,23.3,8.7
2023-01-10,1,5.81,23.9,0
2023-01-11,1,3.2,23.1,0
2023-01-12,1,3.58,24,0
2023-01-13,1,3.36,24.5,0
2023-01-14,1,6.94,23.7,20.5
2023-01-15,1,1.33,24,0
2023-01-16,1,6.36,24.2,4.5
2023-01-17,1,5.3,24.7,0
2023-01-18,1,3.17,23.9,8.3
2023-01-19,1,2.97,23.2,0
2023-01-20,1,6.28,23.4,0
2023-01-21,1,2.63,24.4,0
2023-01-22,1,6.37,24.5,0
2023-01-23,1,3.75,22.7,0
2023-01-24,1,5.8,24.5,0
2023-01-25,1,3.94,24,0
2023-01-26,1,6.82,23,3.1
2023-01-27,1,8.35,23,0
2023-01-28,1,8.9,23.6,0
2023-01-29,1,2.73,23.7,0
2023-01-30,1,4.68,23.9,0
2023-01-31,1,5.12,24.6,0
2023-02-01,2,2.38,24.9,0
2023-02-02,2,2.85,23.3,0
2023-02-03,2,6.83,24.4,0
2023-02-04,2,4.91,25.1,6
2023-02-05,2,7.5,25.6,4
2023-02-06,2,3.46,25.3,0
2023-02-07,2,8.03,24.3,0
2023-02-08,2,7.63,24.8,0
2023-02-09,2,4.56,25.8,0
2023-02-10,2,4.64,24.2,0
2023-02-11,2,2.48,24.5,0
2023-02-12,2,8.57,24.7,0
2023-02-13,2,5.98,24.6,10.4
2023-02-14,2,6.62,24.1,0
2023-02-15,2,7.43,24.7,8.8
2023-02-16,2,5.34,24.9,0
2023-02-17,2,5.18,25.8,4.2
2023-02-18,2,7.18,25,0
2023-02-19,2,5.88,24.3,0
2023-02-20,2,2.25,25.4,0
2023-02-21,2,4.46,24.3,12.9
2023-02-22,2,6.22,24.6,0
2023-02-23,2,5.94,24.8,0
2023-02-24,2,5.22,25.6,4.1
2023-02-25,2,2.49,24.1,6.5
2023-02-26,2,7.62,24.7,3.7
2023-02-27,2,9.62,25.5,3.3
2023-02-28,2,1.81,25.3,0
2023-03-01,3,5.8,25.2,0
2023-03-02,3,7.7,25.3,5.9
2023-03-03,3,9.98,25.2,0
2023-03-04,3,8.52,23.7,5.6
2023-03-05,3,10.18,25.8,0
2023-03-06,3,5.61,25.4,0
2023-03-07,3,6.58,25.6,0
2023-03-08,3,8.71,25.4,0
2023-03-09,3,8.03,26.2,6.8
2023-03-10,3,6.8,26.1,0
2023-03-11,3,11.23,25.3,4.2
2023-03-12,3,8.05,25.4,0
